objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,2020_ParentsAnniv_1.JPG,,,Parents' Wedding Anniversary 2020,Manlangit Family,2020-10-18,Photos during the wedding anniversary celebration of the Manlangit family,wedding anniversary; family celebration; Manlangit family,"Parañaque City, Metro Manila",14.47703164,121.0405961,Manlangit Family Archives,,Image;StillImage,image/JPEG,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,2020_ParentsAnniv_2.JPG,,,Parents' Wedding Anniversary 2020,Manlangit Family,2020-10-18,Photos during the wedding anniversary celebration of the Manlangit family,wedding anniversary; family celebration; Manlangit family,"Parañaque City, Metro Manila",14.47703164,121.0405961,Manlangit Family Archives,,Image;StillImage,image/JPEG,,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,,,,,,,,,,,,,,,,,,
coll004,,,,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,